Premise Site Survey Form WARDS MUST UNLOCK ALL CLOSETS

Site Name:,,,N5,,,Date:,01/23/24,,,,Install new locks on building
,75,1,Von Duprin,Rim,10B,R,,Rim,,SC,North Stake Suite Entrance
,76,1,Schlage,KIL,26D,R,2 3/4,Medium,,HC/SR/SA,Entrance to Stake Interview Office
,77,1,Schlage,KIL,26D,R,2 3/4,Medium,,SR,Stake RS Closet in Stake Interview Office
,78,1,NightLatch,Rim,Bright Brass,L,2 3/4,Rim,,SA,Stake Primary President Closet in Stake Interview Office
,79,1,NightLatch,Rim,Bright Brass,R,2 3/4,Rim,,SA,Stake Primary President Closet in Stake Interview Office
,80,1,Schlage,KIL,26D,L,2 3/4,Medium,,HC,High Council Room
,81,1,Schlage,KIL,26D,R,2 3/4,Medium,,HC,High Council Room
,82,1,Schlage,KIL,26D,R,2 3/4,Medium,,HC,Closet in High Council Room
,83,1,Schlage,KIL,26D,R,2 3/4,Medium,,Mech,Closet in High Council Room
,84,1,Schlage,KIL,26D,L,2 3/4,Medium,,SP,SP Office to Stake Suite
,85,1,Schlage,KIL,26D,L,2 3/4,Medium,,SP,SP Office to Hall
Padlock,86,1,Padlock,,,,,,,Mech,Gate by Kitchen Entrance
Lever,87,1,Arrow,KIL,26D,L,2 3/4,Medium,,Mech,Basement Entrance by Kitchen
Padlock,88,1,Padlock,,,,,,,Mech,Gate by NW Entrance
Lever,89,1,Arrow,KIL,26D,R,2 3/4,Medium,,Snow,Snow Blower Closet
Lever,90,1,Arrow,KIL,26D,L,2 3/4,Medium,,Mech,Stake Storage Closet
,91,1,Schlage,KIL,26D,L,2 3/4,Medium,,A1
,92,1,Schlage,KIL,26D,R,2 3/4,Medium,,A2
,93,1,Schlage,KIL,26D,R,2 3/4,Medium,,A3
,94
,95
,96
,97
,98
,99
