Premise Site Survey Form WARDS MUST UNLOCK ALL CLOSETS

Site Name:,,,N38,,,Date:,09/30/23,,,,Install new locks on building
,30,1,SCHLAGE,KIK,O3,L,2 3/4,L,,?,STAKE RS CLOSET
,31,1,SCHLAGE,KIK,O3,L,2 3/4,L,,RS1,GUNNISON BEND RS CLOSET
,32,1,SCHLAGE,DB,O3,L,2 3/4,DB,,FONT,RS TO MEN'S DRESSING ROOM
,33,1,SCHLAGE,KIK,O3,R,2 3/4,L,,FONT,CLOSET TO MEN'S CLOTHING
,34,1,SCHLAGE,DB,O3,R,2 3/4,L,,FONT,FONT TO MEN'S DRESSING ROOM
,35,1,SCHLAGE,DB,O3,L,2 3/4,L,,FONT,DRESSING ROOM TO MEN'S RESTROOM
,36,1,WONDOOR,DB,O3,,,,,FONT,RS FONT VIEWING WON DOOR
,37,1,SCHLAGE,DB,O3,R,2 3/4,L,,FONT,RS TO WOMEN'S DRESSING ROOM
,38,1,SCHLAGE,KIK,O3,L,2 3/4,L,,FONT,CLOSET TO WOMEN'S CLOTHING
,39,1,SCHLAGE,DB,O3,L,2 3/4,L,,FONT,WOMEN'S FONT TO WOMEN'S DRESSING
,40,1,SCHLAGE,KIK,O3,R,2 3/4,L,,FONT,HALL TO WOMEN'S CHANGING ROOM
,41,1,SCHLAGE,DB,O3,R,2 3/4,L,,FONT,WOMEN'S SHOWERING ROOM TO PRIVATE BATHROOM
,42,2,SCHLAGE,DB,O3,R,2 3/4,,,FONT,PRIVATE RESTROOM TO RESTROOM GIRLS SIDE
,43,1,SCHLAGE,KIK,O3,L,2 3/4,L,,GU,RS ROOM
,44,1,SCHLAGE,KIK,O3,L,2 3/4,L,,MECH,FONT WATER HEATER IM MENS RESTROOM
,45,1,SCHLAGE,KIK,O3,R,2 3/4,L,,GU,KITCHEN TO HALL
,46,1,SCHLAGE,KIL,26D,R,2 3/4,M,,GU,KITCHEN TO OS NEEDS NEW LEVER
,47,1,SCHLAGE,KIK,O3,R,2 3/4,L,,GU,KITCHEN TO HALL
,48,1,SCHLAGE,KIK,O3,L,2 3/4,L,,GU,KITCHEN TO MULTI PURPOSE ROOM
,49,1,SCHLAGE,KIK,O3,R,2 3/4,L,,MECH,MEMBERS CLOSET TO AIR HANDLER
,50,1,VON DUPRIN,RIM,10B,R,,RIM,,GU,OUTSIDE ENTRANCE
,51,1,SCHLAGE,KIK,O3,R,2 3/4,L,,MECH,AIR HANDLER CLOSET C5 IN ROOM 10
,52,2,SCHLAGE,KIK/DB,O3,R,2 3/4,L/DB,,MC,LIBRARY
,53,2,SCHLAGE,KIK/DB,O3,L,2 3/4,L/DB,,MC,LIBRARY
,54,1,SCHLAGE,KIK,,R,2 3/4,L,,MECH,HALL TO MAIN AIR HANDLER





,,,KITCHEN OSNEEDSNEWlevr
