Premise Site Survey Form WARDS MUST UNLOCK ALL CLOSETS

Site Name:,,,N6,,,Date:,12/30/99,,,,Install new locks on building
,33,1,Olympus,KIK,26D,L,,None,,A3,YM/YW Closet D
,34,1,Olympus,KIK,26D,L,,None,,A1,First Ward Closet C
,35,1,Marks,KIL,26D,L,2 3/4,WM,,C3,7th Ward Clerk Office
,36,1,Marks,KIL,26D,L,2 3/4,WM,,B3,7th Ward Bishop Office
,37,2,Von Duprin,Rim,26D,R/L,,Rim,,GU,NE Cultural Hall Entrance
,38,1,Von Duprin,Rim,26D,L,,Rim,,GU,Overflow Entrance
,39,1,Von Duprin,Rim,10B,R,,Rim,,GU,East Main Entrance
,40,2,Von Duprin,Rim,26D,R/L,,Rim,,GU,East Chapel Entrance
,41,1,Marks,KIL,26D,R,2 3/4,WM,,A1,1st Ward Computer Room/YM/YW
,42,1,Olympus,KIK,26D,R,,None,,A1,First Ward YM/YW Closet
,43,1,Olympus,KIK,26D,L,,None,,C1,First Ward Closet A Manual Storage
,44,1,Marks,KIL,26D,,2 3/4,WM,,C1,First Ward Clerk Office
,45,1,Marks,KIL,26D,R,2 3/4,WM,,B1,First Ward Bishop Office
,46,2,Von Duprin,Rim,26D,R/L,,Rim,,GU,Chapel West Entrance
,47,1,Von Duprin,Rim,10B,R,,Rim,,GU,Chapel Funeral Door
,48,1,Olympus,KIK,26D,L,,None,,A2,2nd Ward Closet X
,49,1,Olympus,KIk,26D,R,,None,,A2,2nd Ward Closet Y
,50,1,Marks,KIL,26D,R,2 3/4,WM,,C2,2nd Ward Clerk Office
,51,1,Marks,KIL,26D,L,2 3/4,WM,,B2,2nd Ward Bishop Office
,52,1,Von Duprin,Rim,26D,R,,Rim,,GU,West Overflow Door
,53,1,Schlage,DB,26D,L,2 3/4,DB,,Mech,Access to Attic in Overflow
,54,2,Won Door,Mort,26D,,,A/R,,GU,Won Door from Chapel to Overflow
,55,1,Von Duprin,Rim,10B,R,,Rim,,GU,West Main Entrance
,56,2,Von Duprin,Rim,26D,R/L,,Rim,,GU,NW Cultural Hall Entrance
,57,1,Olympus,KIK,26D,L,,None,,R3,Closet R 7th Ward RS
,58,1,Olympus,KIK,26D,L,,None,,R2,Closet S 2nd Ward RS
,59,1,Olympus,KIK,26D,L,,None,,R2,Closet T 2nd Ward RS
,60,1,Olympus,KIK,26D,R,,None,,R3,Closet U 7th Ward RS
,61,1,Olympus,KIK,26D,R,,None,,R1,Closet V 1st Ward RS
,62,1,Olympus,KIK,26D,R,,None,,R1,Closet W 1st Ward RS
,63,1,Olympus,KIK,26D,R,,None,,A1,Closet Q 1st Ward Primary
,64,1,Olympus,KIK,26D,L,,None,,RS3,Coset P 7th Ward RS
,65,1,Marks,KIL,26D,L,2 3/4,WM,,GU,Kitchen Entrance
,66,1,Marks,KIL,26D,L,2 3/4,WM,,GU,Kitchen to Multi Purpose Room
,67,3,Sch/Marks,DB/KIL,26D,L,2 3/4,DB/KIL,,GU,Multi-purose to OS 2 Deadbolts and 1 KIL
,68,2,Von Duprin,Rim,26D,R/L,,Rim,,GU,SW Cultural Hall Entrance
,69,2,Schlage,DB,26D,L,2 3/4,DB,,GU,Door 13 to Stage
,70,1,Marks,KIL,26D,L,2 3/4,WM,,Mech,Mechanical Equip Room in West Hall
,71,1,Olympus,KIK,26D,L,,None,,A2,Closet L 2nd Ward Nursery
,72,1,Olympus,KIK,26D,R,,None,,A3,Closet M 7th Ward Primary Closet
,73,1,Marks,KIL,26D,L,2 3/4,WM,,Snow,Snow Shed
Lever,74,1,Falcon,KIL,26D,L,2 3/4,Medium,,A1,First Ward Activities Closet
Lever,75,1,Falcon,KIl,26D,R,2 3/4,Medium,,A2,Second Ward Activities Closet
,76
,77
,78
,79
,80
,81
,82
,83
,84
,85
,86
,87
,88
,89
,90
,91
,92
,93
,94
,95
,96
,97
,98
,99
